x,y,z
1,1,4.971659999999999
1,2,6.5563199999999995
1,3,8.140979999999999
1,4,9.72564
1,5,11.3103
1,6,12.89496
1,7,14.479619999999999
1,8,16.06428
1,9,17.64894
1,10,19.2336
1,11,20.81826
1,12,22.402919999999998
1,13,23.987579999999998
1,14,25.572239999999997
1,15,27.1569
1,16,28.74156
1,17,30.32622
1,18,31.910879999999995
1,19,33.49554
1,20,35.08019999999999
1,21,36.66486
1,22,38.24952
1,23,39.834179999999996
1,24,41.418839999999996
1,25,43.003499999999995
1,26,44.588159999999995
1,27,46.172819999999994
1,28,47.757479999999994
1,29,49.342139999999986
1,30,50.92679999999999
1,31,52.51145999999999
1,32,54.09611999999999
1,33,55.68077999999999
1,34,57.26543999999999
1,35,58.85009999999999
1,36,60.43475999999999
1,37,62.01941999999999
1,38,63.604079999999996
1,39,65.18874
1,40,66.77339999999998
1,41,68.35806
1,42,69.94272
1,43,71.52738
1,44,73.11204
1,45,74.69669999999999
1,46,76.28135999999999
1,47,77.86601999999999
1,48,79.45067999999999
1,49,81.03533999999999
2,1,8.09982
2,2,9.72564
2,3,11.35146
2,4,12.97728
2,5,14.6031
2,6,16.22892
2,7,17.854740000000003
2,8,19.48056
2,9,21.106379999999998
2,10,22.7322
2,11,24.358019999999996
2,12,25.98384
2,13,27.609659999999998
2,14,29.23548
2,15,30.861299999999996
2,16,32.48712
2,17,34.112939999999995
2,18,35.73875999999999
2,19,37.36457999999999
2,20,38.990399999999994
2,21,40.61621999999999
2,22,42.24203999999999
2,23,43.86786
2,24,45.49368
2,25,47.119499999999995
2,26,48.74531999999999
2,27,50.37113999999999
2,28,51.996959999999994
2,29,53.62277999999999
2,30,55.24859999999999
2,31,56.874419999999986
2,32,58.50024
2,33,60.126059999999995
2,34,61.75187999999999
2,35,63.37769999999999
2,36,65.00352
2,37,66.62934
2,38,68.25515999999999
2,39,69.88098
2,40,71.5068
2,41,73.13261999999999
2,42,74.75844
2,43,76.38425999999998
2,44,78.01007999999999
2,45,79.63589999999998
2,46,81.26172
2,47,82.88754
2,48,84.51335999999999
2,49,86.13918
3,1,11.22798
3,2,12.89496
3,3,14.561939999999998
3,4,16.22892
3,5,17.8959
3,6,19.562879999999996
3,7,21.22986
3,8,22.89684
3,9,24.563819999999996
3,10,26.2308
3,11,27.897779999999997
3,12,29.56476
3,13,31.23174
3,14,32.89872
3,15,34.56569999999999
3,16,36.232679999999995
3,17,37.89965999999999
3,18,39.56663999999999
3,19,41.233619999999995
3,20,42.90059999999999
3,21,44.56758
3,22,46.234559999999995
3,23,47.90153999999999
3,24,49.56851999999999
3,25,51.235499999999995
3,26,52.90247999999999
3,27,54.56945999999999
3,28,56.236439999999995
3,29,57.90341999999999
3,30,59.57039999999999
3,31,61.23737999999999
3,32,62.90436
3,33,64.57133999999999
3,34,66.23831999999999
3,35,67.9053
3,36,69.57227999999998
3,37,71.23925999999999
3,38,72.90624
3,39,74.57321999999999
3,40,76.24019999999999
3,41,77.90718
3,42,79.57415999999999
3,43,81.24113999999999
3,44,82.90812
3,45,84.57509999999999
3,46,86.24207999999999
3,47,87.90906
3,48,89.57603999999999
3,49,91.24301999999999
4,1,14.35614
4,2,16.06428
4,3,17.77242
4,4,19.48056
4,5,21.1887
4,6,22.89684
4,7,24.60498
4,8,26.31312
4,9,28.021259999999995
4,10,29.7294
4,11,31.43754
4,12,33.14568
4,13,34.85381999999999
4,14,36.56196
4,15,38.27009999999999
4,16,39.97824
4,17,41.68637999999999
4,18,43.394519999999986
4,19,45.10265999999999
4,20,46.81079999999999
4,21,48.51893999999999
4,22,50.227079999999994
